position,true_level,mvr_mean_rank,mvr_std_rank,mvr_layer,z_dev,n_records
中央|党委|党委常委会/政治局 |政治局常委,正国,467.1175,2.245816944899987,12,0.9556635597932011,19
中央|党委|党委常委会/政治局 |政治局委员,副国,463.86125,3.361100777647111,12,1.1573597551501338,35
中央|政协|政协人口资源环境委员会|主任,正部,457.60375,12.922721692333221,12,1.2959311435615282,3
中央|人大|人大常委会|秘书长,副国,457.04,5.908121528878706,12,0.985786650778156,3
中央|人大|人大民族委员会|副主任委员,正部,456.26375,8.973526950842688,12,1.2690479658013,5
中央|人大|人大教育科学文化卫生委员会|主任委员,正部,455.54875,9.614058635014656,12,1.2547035836381923,3
中央|党委|纪律检查委员会|纪委书记,正国,455.3075,6.793779783743357,12,0.30487003860780754,3
中央|人大|人大华侨委员会|副主任委员,正部,455.27,8.554799822321955,12,1.249111280801876,7
中央|人大|人大环境与资源保护委员会|副主任委员,正部,452.7925,10.291109937708375,12,1.199407495054887,14
中央|政协|政协经济委员会|副主任委员,正部,452.705,11.667925051181982,12,1.1976520636712893,7
中央|政府_国务院|政府/国务院（综合）|秘书长,副国,452.68125,10.158107522442352,12,0.8761521602256371,3
中央|党委|政法委|政法委书记,正国,452.39,7.71316407189682,12,0.1441003435986291,3
中央|人大|人大常委会|副委员长,副国,451.6525,6.2782755395092495,12,0.8502762824726339,19
中央|政协|政协港澳台侨委员会|副主任,正部,450.0675,10.229757756173909,12,1.1447383462514364,4
中央|人大|人大内务司法委员会|副主任委员,正部,449.39,11.574234315927765,12,1.1311462918241564,6
中央|政府_国务院|全国社会保障基金理事会|理事长,正部,447.34,12.420925891414049,12,1.0900190422655975,4
中央|政府_国务院|政府/国务院（综合）|副总理,副国,446.85125,7.171061527939914,12,0.729511705985046,11
中央|政协|政协民族和宗教委员会|副主任,正部,446.80625,17.64004566143468,12,1.0793109108256558,4
中央|政协|政协社会和法制委员会|副主任,正部,446.73875,13.985009776095973,12,1.0779567209011667,7
中央|政协|政协常委会|常务委员,正部,445.4925,16.24353544490851,12,1.052954362480507,3
中央|人大|人大农业与农村委员会|副主任委员,正部,445.25625,17.5856642165572,12,1.0482146977447953,9
中央|政协|政协经济委员会|副主任,正部,445.24375,16.437284932053107,12,1.0479639218328518,9
中央|人大|人大常委会|委员,正部,445.1,9.111119579941866,12,1.0450799988455148,21
中央|党委|精神文明建设指导委员会办公室|主任,正部,443.86125,18.19483438884508,12,1.020228105972019,4
中央|政协|政协教科文卫体委员会|副主任,副部,442.49125,17.768509319509615,12,2.1570501750772553,5
中央|政府_国务院|住房和城乡建设(建设)部/厅/局|部长,正部,441.72125,18.248042317944666,12,0.9772952698474751,3
中央|政协|政协文史和学习委员会|副主任委员,正部,441.6975,19.542799025472274,12,0.9768187956147844,3
中央|政协|政协人口资源环境委员会|副主任,正部,441.535,22.014569607421368,12,0.9735587087595334,10
中央|政协|政协提案委员会|副主任,正部,441.05125,17.49710328704439,12,0.9638536809673605,6
中央|政府_国务院|政府/国务院（综合）|国务委员,副国,439.755,5.630939086866424,12,0.551021599054549,10
中央|政府_国务院|人民银行|委员,副部,436.225,21.883255585035773,12,2.0770451584095357,3
中央|人大|人大法律委员会|副主任委员,正部,436.0525,24.16241386430586,12,0.8635683937815827,4
中央|党委|中共中央书记处|书记,副国,435.745,5.881961832586134,12,0.45015912538306163,15
中央|政协|政协民族和宗教委员会|副主任委员,正部,431.9475,19.83468537058249,12,0.7812135842996879,3
中央|政协|政协常委会|副主席,副国,431.45125,6.270177305108676,12,0.3421595627080121,23
中央|党委|统战部（党委）|副部长,副部,429.9475,20.004243143643293,11,1.996896506164315,7
中央|人大|人大教育科学文化卫生委员会|副主任委员,正部,429.60625,10.869278308034064,11,0.7342432559928704,5
中央|人大|人大财政经济委员会|副主任委员,正部,428.225,10.450807385077967,11,0.7065325177232324,12
中央|政协|政协提案委员会|副主任委员,正部,427.6625,28.41339637829311,11,0.6952476016858231,4
