position,true_level,spring_rank,z_dev,layer,n_records
中央|党委|党委常委会/政治局 |政治局常委,正国,2.7842553001572745,1.4030723261435996,6,19
中央|政协|政协人口资源环境委员会|主任,正部,2.543087576050165,2.676255446618361,6,3
中央|人大|人大教育科学文化卫生委员会|主任委员,正部,2.2665404811300953,2.173319921511483,6,3
中央|党委|党委常委会/政治局 |政治局委员,副国,2.244432002802023,2.1331800930261506,6,35
中央|人大|人大常委会|秘书长,副国,2.2088030304286206,2.050769913543296,6,3
中央|人大|人大民族委员会|副主任委员,正部,2.0650176141178695,1.8068253504109213,6,5
中央|政府_国务院|全国社会保障基金理事会|理事长,正部,1.9789800445378098,1.6503552553329979,6,4
中央|政协|政协民族和宗教委员会|副主任,正部,1.9570945458549813,1.6105537351779746,6,4
中央|人大|人大农业与农村委员会|副主任委员,正部,1.9384101708630261,1.5765738593431233,6,9
中央|人大|人大内务司法委员会|副主任委员,正部,1.9351199439854179,1.570590169719159,6,6
中央|政协|政协文史和学习委员会|副主任委员,正部,1.8727170958103665,1.4571027753780423,6,3
中央|政协|政协提案委员会|副主任,正部,1.8351708755055507,1.388820271704522,6,6
中央|政协|政协经济委员会|副主任,正部,1.8129426291197066,1.3483954219280283,6,9
中央|党委|纪律检查委员会|纪委书记,正国,1.8098641838080227,-0.18260162678977326,6,3
中央|政协|政协人口资源环境委员会|副主任,正部,1.789237661687522,1.305284969993637,6,10
中央|党委|政法委|政法委书记,正国,1.7657584669421897,-0.2543770003909195,6,3
中央|人大|人大环境与资源保护委员会|副主任委员,正部,1.6871864638732985,1.1196920865271995,6,14
中央|政协|政协教科文卫体委员会|副主任,副部,1.6779141024913933,3.4317233045681412,6,5
中央|政府_国务院|政府/国务院（综合）|副总理,副国,1.6724918731302596,0.810276691667215,6,11
中央|政协|政协社会和法制委员会|副主任,正部,1.6571481375158037,1.0650636282376453,6,7
中央|人大|人大常委会|副委员长,副国,1.6038868073184405,0.6515924689584586,5,19
中央|政协|政协经济委员会|副主任委员,正部,1.5886622292125334,0.9405134272497013,5,7
中央|政协|政协民族和宗教委员会|副主任委员,正部,1.5855903018259432,0.9349267425885895,5,3
中央|政协|政协港澳台侨委员会|副主任,正部,1.5605764511438776,0.8894359225480978,5,4
中央|政协|政协常委会|常务委员,正部,1.5512462480178262,0.872467779708229,5,3
中央|人大|人大财政经济委员会|副主任,正部,1.5392352117779184,0.8506242061203679,5,3
中央|人大|人大教育科学文化卫生委员会|副主任委员,正部,1.5117615152689772,0.800659848388297,5,5
中央|政协|政协常委会|副主席,副国,1.5080180419372335,0.42984702878508685,5,23
中央|行业协会_人民团体|总工会|主席,副国,1.4933624814256419,0.39594856661434696,5,3
中央|人大|人大财政经济委员会|副主任委员,正部,1.4854718429869156,0.7528487869924507,5,12
省级|党委|党委常委会/政治局 |市委书记,副国,1.4841415433821146,0.3746204420980572,5,13
中央|政府_国务院|政府/国务院（综合）|国务委员,副国,1.475133495990531,0.3537847358489301,5,10
中央|人大|人大华侨委员会|副主任委员,正部,1.4330997593919104,0.6576035942291414,5,7
中央|政府_国务院|住房和城乡建设(建设)部/厅/局|部长,正部,1.4272006602589562,0.6468753436903051,5,3
中央|人大|人大法律委员会|副主任委员,正部,1.3788681018226474,0.5589765333124576,5,4
中央|人大|人大常委会|委员,正部,1.3580802866000532,0.5211712879967476,5,21
中央|党委|统战部（党委）|部长,副国,1.342559800847856,0.047140415689722076,5,5
中央|学校|中央党校|校长,正国,1.3284110367450424,-0.9660936989629073,5,4
中央|政府_国务院|政府/国务院（综合）|秘书长,副国,1.3221005104021972,-0.00018213349997280883,5,3
中央|政协|政协提案委员会|副主任委员,正部,1.3194325556557713,0.45088554927918967,5,4
中央|人大|人大常委会|常委,副部,1.3155324562862565,2.6144719373685734,5,6
中央|党委|组织部 （党委）|部长,副国,1.2846961585293353,-0.08669878402182638,5,3
中央|党委|中共中央书记处|书记,副国,1.2770531300996326,-0.10437718737523226,5,15
中央|政府_国务院|财政部/厅/局|部长,正部,1.2684742854865392,0.3582115532876267,5,3
中央|党委|政法委|政法委副书记,副国,1.2571153796533154,-0.150493409183301,5,4
中央|党委|宣传部（党委）|部长,副国,1.2467130811876892,-0.17455403250418142,5,3
中央|政府_国务院|人民银行|委员,副部,1.246354940090329,2.4584612224699818,5,3
中央|党委|精神文明建设指导委员会办公室|主任,正部,1.2279334319736412,0.28448293409644165,5,4
中央|党委|直属机关工作委员会|书记,副国,1.2191988122656203,-0.2381948194582261,5,4
中央|政协|政协常委会|常委,正部,1.2131495128330367,0.2575965256954907,5,10
中央|党委|统战部（党委）|副部长,副部,1.1955441708386951,2.343871614871994,5,7
中央|政府_国务院|商务部/厅/局|部长,正部,1.1945268414887855,0.22372886567136047,5,3
中央|政府_国务院|公安部/厅/局|部长,副国,1.190149208223506,-0.3053868523332376,5,4
省级|政协|政协常委会|政协主席,正部,1.1813709552830853,0.19980323904699643,5,3
中央|政府_国务院|全国“扫黄打非”工作小组|副组长,正部,1.156433689634268,0.15445169848048776,5,3
省级|人大|人大常委会|常务副主任,副部,1.1437356759312365,2.227031913581757,5,10
中央|党委|党委办公厅 /室|主任,副国,1.119080186568563,-0.4697702302447205,5,3
中央|政府_国务院|民族事务委员会|主任,正部,1.0981212596489596,0.04840324187530953,5,3
中央|政协|政协社会和法制委员会|主任,正部,1.0940108362484857,0.04092792215833179,5,3
中央|政府_国务院|交通部/厅/局|部长,正部,1.0860969052894223,0.026535447619025748,5,3
中央|学校|中央党校|常务副校长,正部,1.0714856957814596,-3.686668591298036e-05,5,3
中央|政府_国务院|国有资产监督管理委员会|主任,正部,1.0698762169741223,-0.00296390545791866,5,5
省级|人大|人大常委会|主任,正部,1.060348101758321,-0.020291976218245786,5,41
中央|政府_国务院|新华通讯社|社长,正部,1.0543726887142333,-0.03115901316154588,5,3
中央|政协|政协常委会|委员,正部,1.051198381973432,-0.036931887499627745,5,8
中央|党委|纪律检查委员会|委员,副部,1.049464396998916,2.014429171688261,5,5
中央|政府_国务院|监察部/厅/局|部长,正部,1.048226598020699,-0.04233644878494501,5,4
省级|政协|政协常委会|主席,正部,1.006021909501356,-0.11909096030343698,5,86
中央|人大|人大民族委员会|委员,副部,1.0052441349892347,1.9147026265837186,5,4
中央|党委|机构编制委员会|委员,副国,0.9851864236229361,-0.779467880806801,5,3
省级|人大|人大常委会|副主任委员,副部,0.9844583423096797,1.8678260320773923,5,3
省级|人大|人大常委会|副书记,副部,0.9780244189049002,1.853316101030728,5,5
中央|政府_国务院|外交部|部长,正部,0.9644488848736845,-0.1946967119293665,5,3
省级|党委|党委常委会/政治局 |书记,正部,0.9435479616902981,-0.23270765823669687,4,71
中央|行业协会_人民团体|作家协会|副主席,副部,0.8965502510779062,1.6695736964544057,4,3
中央|政府_国务院|发展改革/计划委员会|主任,正部,0.8960770397054877,-0.31903947482163975,4,4
省级|政协|政协常委会|党组书记,正部,0.8956894146345733,-0.31974441955678967,4,7
省级|政府_国务院|政府/国务院（综合）|市长,正部,0.8873838080428614,-0.33484920528502554,4,11
中央|政府_国务院|供销合作社|党组书记,正部,0.886750748102394,-0.3360005040671558,4,3
省级|人大|人大常委会|党组书记,副部,0.8759349983893487,1.623081707631796,4,12
省级|党委|党委常委会/政治局 |省委书记,正部,0.8697476051332725,-0.3669228489217059,4,28
中央|政府_国务院|体育局|副局长,副部,0.8468080466575802,1.5573939406755506,4,3
中央|党委|直属机关工作委员会|副书记,正部,0.8362113784749825,-0.4279126769629851,4,5
中央|党委|纪律检查委员会|纪委副书记,正部,0.8235103215998986,-0.4510111394896984,4,9
中央|政府_国务院|发展改革/计划委员会|副主任,副部,0.8097559727742327,1.4738332571921386,4,16
中央|学校|国家行政学院|副院长,副部,0.7999251550838367,1.4516625725498544,4,3
省级|行业协会_人民团体|科学技术协会|主席,副部,0.798089015788036,1.447521669263013,4,4
中央|政府_国务院|中国银行业监督管理委员会|主席,正部,0.7953568049461645,-0.5022118352914152,4,3
中央|政府_国务院|民政部/厅/局|副部长,副部,0.7950737173430585,1.4407214993248323,4,3
中央|学校|北京大学|院长,副国,0.7933791780094238,-1.2231200123210333,4,3
中央|政府_国务院|质量监督检验检疫局|副局长,副部,0.7770895554917497,1.4001632066661571,4,3
省级|政府_国务院|政府/国务院（综合）|主席,正部,0.761190085072198,-0.564348294204352,4,15
中央|党委|防范和处理邪教问题领导小组（610）办公室|主任,副部,0.7381707727161828,1.312392678643692,4,3
中央|政府_国务院|海关|署长,正部,0.7379257938693196,-0.606657321228269,4,3
省级|政府_国务院|政府/国务院（综合）|特邀咨询,副部,0.7280997334671957,1.2896802408545658,4,5
中央|政府_国务院|质量监督检验检疫局|局长,正部,0.7273409856720217,-0.6259071205089385,4,3
省级|其他|不详|待职,副部,0.7247399433619406,1.2821031654541495,4,4
中央|政府_国务院|工业和信息化（信息产业）部/厅/局|部长,正部,0.7234808068287152,-0.6329273391596747,4,4
中央|党委|财经领导小组办公室|副秘书长,正部,0.7145295447872697,-0.6492063301810226,4,3
中央|人大|人大常委会|副秘书长,正部,0.6961588871287805,-0.6826156717570075,4,3
