position,true_level,rank_广东省,std_广东省,n_广东省,rank_上海市,std_上海市,n_上海市,rank_北京市,std_北京市,n_北京市
副省级市|人大|人大常委会|主任,副部,40.5825,2.4572736416606094,2.0,,,,,,
副省级市|党委|党委常委会/政治局 |书记,副部,34.5425,1.7024082207273332,10.0,,,,,,
副省级市|党委|党委常委会/政治局 |副书记,正厅,10.4325,3.2612028072476558,4.0,,,,,,
副省级市|军队|广州军区|第一书记,副部,36.125,1.6790994610206984,2.0,,,,,,
副省级市|政协|政协常委会|主席,副部,30.36,8.144654688812784,2.0,,,,,,
副省级市|政府_国务院|城市规划编制研究中心|主任,副厅,3.3925,2.7528973373520476,2.0,,,,,,
副省级市|政府_国务院|政府/国务院（综合）|副市长,正厅,2.7425,2.2563673792181973,2.0,,,,,,
副省级市|政府_国务院|政府/国务院（综合）|区长,副厅,7.5975,2.800980854986336,2.0,,,,,,
副省级市|政府_国务院|政府/国务院（综合）|市长,副部,28.095,3.6353782471704355,8.0,,,,,,
副省级市|政府_国务院|政府/国务院（综合）|常务副市长,正厅,4.845,3.435254721268862,3.0,,,,,,
地级市|人大|人大常委会|主任,副部,,,,17.725,3.5544866014658174,2.0,,,
地级市|人大|人大常委会|主任,正厅,16.6,1.9937402037376886,7.0,,,,,,
地级市|党委|党委常委会/政治局 |书记,正厅,15.3525,1.6487097227832421,22.0,12.1825,1.9960445260564688,14.0,13.7075,3.1822859315278387,16.0
地级市|党委|党委常委会/政治局 |党委书记,正处,,,,1.2925,1.384537377610299,2.0,,,
地级市|党委|党委常委会/政治局 |副书记,副厅,5.32,3.6314735301252035,3.0,2.4725,1.8409898831878462,3.0,2.595,2.4961920999794924,2.0
地级市|党委|党委常委会/政治局 |副书记（正厅级）,正厅,,,,,,,9.2575,2.9019293151281262,2.0
地级市|党委|党委常委会/政治局 |区委书记,副部,,,,,,,11.3,7.3918874450305365,2.0
地级市|党委|党委常委会/政治局 |市委书记,正厅,14.46,1.674335689161525,18.0,,,,,,
地级市|党委|党委常委会/政治局 |市委副书记,正厅,7.455,2.7564424535984777,2.0,,,,,,
地级市|党委|党委常委会/政治局 |常委,副厅,6.8625,4.002948132314481,2.0,,,,,,
地级市|军队|广州军区|第一书记,副部,19.645,2.6615737825579813,2.0,,,,,,
地级市|政府_国务院|发展改革/计划委员会|主任,副厅,,,,3.6425,1.6154546573642978,2.0,,,
地级市|政府_国务院|政府/国务院（综合）|副区长,副厅,,,,2.5625,1.9186176664463401,2.0,5.87,2.8236678274896296,4.0
地级市|政府_国务院|政府/国务院（综合）|区长,正厅,,,,5.8725,1.4478410651725504,15.0,11.7325,3.107401446546613,12.0
地级市|政府_国务院|政府/国务院（综合）|市长,正厅,11.9375,1.32045210060797,28.0,,,,,,
省级|中央企业|上海宝钢集团公司|总经理,副部,,,,19.47,8.765791464551272,2.0,,,
省级|中央企业|上海宝钢集团公司|董事,副部,,,,9.565,7.832992723091226,2.0,,,
省级|中央企业|上海宝钢集团公司|董事长,副部,,,,30.1725,7.636605512267869,3.0,,,
省级|人大|人大常委会|主任,正部,42.7375,1.3504050318330463,3.0,38.66,1.5425303886795914,3.0,38.6675,4.367716079371458,3.0
省级|人大|人大常委会|副主任,副部,32.5025,3.880076513420834,12.0,35.5125,2.4687737340631295,9.0,39.495,3.67355073464353,7.0
省级|党委|中关村科技园区管理委员会|党组书记,副部,,,,,,,16.5775,3.3576768382320563,2.0
省级|党委|党委办公厅 /室|主任,副部,35.0225,6.501691606805113,2.0,,,,,,
省级|党委|党委常委会/政治局 |副书记,副部,26.5725,1.7261934277478879,6.0,29.205,2.5725425166554627,6.0,4.425,4.0901558650007415,8.0
省级|党委|党委常委会/政治局 |副秘书长,副厅,,,,,,,22.175,6.146492902460723,2.0
省级|党委|党委常委会/政治局 |副秘书长,正厅,25.2775,6.481550258232979,2.0,7.5725,1.6955069300949481,3.0,,,
省级|党委|党委常委会/政治局 |副秘书长（正局级）,正厅,,,,,,,4.1475,3.0952776531354975,2.0
省级|党委|党委常委会/政治局 |市委书记,副国,,,,36.595,3.2651148524975344,4.0,33.815,7.923747535099788,2.0
省级|党委|党委常委会/政治局 |市委常委,副部,,,,,,,31.0725,4.55656051753952,5.0
省级|党委|党委常委会/政治局 |常委,副部,37.945,1.6528687183197568,16.0,14.8525,1.7566285179285916,20.0,23.7725,3.2366253644807275,10.0
省级|党委|党委常委会/政治局 |秘书长,副部,18.9625,2.085927551474402,4.0,22.8025,5.252950956367285,3.0,20.16,3.59713775104596,4.0
省级|党委|宣传部（党委）|部长,副部,19.86,2.6135033958271445,4.0,21.87,4.183073033070302,4.0,14.5775,6.145241553429773,4.0
省级|党委|政法委|副书记,副部,,,,,,,34.7875,4.831908913669627,3.0
省级|党委|政法委|政法委书记,副部,32.1375,1.9605085437202254,6.0,30.1725,4.540676574036076,3.0,27.885,4.2103176839758785,4.0
省级|党委|教育工作委员会|书记,副部,,,,,,,29.3275,8.933098216744277,5.0
省级|党委|社会工作委员会|主任,副部,30.5525,2.6281635698715586,2.0,,,,,,
省级|党委|纪律检查委员会|纪委书记,副部,16.8275,6.160579822549174,2.0,30.5375,6.035196247844798,4.0,,,
省级|党委|组织部 （党委）|副部长,正厅,30.1775,7.817032285336933,2.0,,,,,,
省级|党委|组织部 （党委）|部长,副部,13.61,7.840784399535547,3.0,26.5025,2.75680861686117,5.0,38.1825,4.901958154656157,2.0
省级|党委|统战部（党委）|部长,副部,31.2625,5.66820904254598,4.0,19.9425,2.5882800756486897,6.0,,,
省级|其他|不详|待职,副部,,,,29.0475,6.651709836575854,2.0,,,
省级|军队|上海警备区|政委,副部,,,,21.625,11.446587919550524,2.0,,,
省级|地方企业|贝尔有限公司|常务副总裁,副厅,,,,13.25,9.895579821314161,2.0,,,
省级|学校|上海市委党校|校长,副部,,,,32.39,2.7509816429776475,3.0,,,
省级|学校|上海市委党校|院长,副部,,,,21.06,3.3318763482458342,2.0,,,
省级|学校|中国人民大学|学员,正厅,,,,,,,16.8,10.98908549425292,10.0
省级|学校|中国浦东干部学院|第一副院长,副部,,,,33.95,3.1372758884102003,2.0,,,
省级|学校|中央党校|学员,正厅,,,,,,,13.08,10.3350665213147,7.0
省级|学校|中欧国际工商学院|学员,正厅,,,,15.9925,10.775548419918126,4.0,,,
省级|学校|北京市委党校|校长,副部,,,,,,,31.9275,4.3147704168356364,6.0
省级|学校|北京师范大学|学员,正厅,,,,,,,22.155,11.989619468523593,3.0
省级|学校|华南理工大学|学员,正厅,5.82,4.214569966200589,3.0,,,,,,
省级|学校|同济大学|学员,副部,,,,25.7675,10.30429249148141,3.0,,,
省级|学校|国家行政学院|主任,正厅,,,,,,,30.52,10.655965465409508,2.0
省级|学校|外交学院|学员,正厅,,,,,,,13.44,10.278443461925546,2.0
省级|学校|广东省委党校|校长,副部,29.345,2.0250864179091224,3.0,,,,,,
省级|学校|清华大学|主任,副部,,,,,,,30.345,9.694894274823213,2.0
省级|学校|清华大学|副校长,副厅,,,,,,,31.2375,10.999367879564716,2.0
省级|学校|清华大学|处长,正处,,,,,,,21.1375,10.84428853129609,2.0
省级|学校|清华大学|学员,副部,,,,,,,28.855,11.288001373139533,15.0
